,site,ref_to_about
0,http://www.agroplazma.com,http://www.agroplazma.com/about
1,https://nanosemantics.ai/,-
2,http://ro-met.com,http://ro-met.com/o-kompanii
3,https://www.2can.ru,https://www.2can.ru/about/
4,http://www.uchi.ru,-
5,http://cdnvideo.ru,http://cdnvideo.ru/about/
6,http://www.ufdcom.ru,http://www.ufdcom.ru/o_kompanii
7,https://www.teplofon.ru,https://www.teplofon.ru/about/
8,https://tgtdiagnostics.com/,-
9,https://www.streamlabs.ru/,https://www.streamlabs.ru//company/
10,https://www.permrecycle.ru,-
11,http://www.ngt-group.ru,-
12,https://t8.ru,https://t8.ru/?page_id=3144
13,http://monolum.ru,-
14,http://2etechnologies.com/,http://2etechnologies.com//about
15,https://www.masstags.com,-
16,http://www.ngit.ru,http://www.ngit.ru/ru/o-kompanii/
17,http://www.helgilab.ru,-
18,http://www.rustec-msk.com,-
19,https://relap.io,-
20,https://innotoplivo.ru,https://innotoplivo.ru/about/
21,http://www.pharmenterprises.ru,-
22,https://www.infowatch.ru,-
23,http://www.tion.info,http://www.tion.info/about/
24,https://www.quantenna.com/,-
25,https://www.tgtoil.com,-
26,http://www.aitnc.ru/,-
27,http://www.mphtech.pro/,-
28,https://geomera3D.com,https://geomera3d.com/about-us/
29,https://www.flocktory.com/,-
30,https://tevian.ru/,-
31,http://pltm.org/,http://pltm.org/pltm-about/
32,http://modernseismic.com,-
33,https://ivideon.com,-
34,http://www.pultrusion.ru/,-
35,http://gvtek.ru,http://gvtek.ru/?q=company
36,http://www.stcgeo.ru,https://www.stcgeo.ru
37,https://www.geosplit.ru/,https://www.geosplit.ru//about-the-company
38,https://www.goodsforecast.ru,-
39,https://wallarm.ru,-
40,https://www.antiplagiat.ru,-
41,http://bigprinter.ru,http://bigprinter.ru/about
42,https://www.viriom.ru,-
43,https://doubledata.ru/,-
44,https://www.synthaur.com,-
45,https://iss.ru,-
46,https://www.integra-s.com,https://www.integra-s.com/o-kompanii/
47,http://www.wormholes.ru,http://www.wormholes.ru/#about
48,https://tau.group/,-
49,http://www.polyceramoplast.ru,http://www.polyceramoplast.ru/company
50,https://www.travelline.ru,-
51,https://www.nnmd.ru/,-
52,https://k50.ru,-
53,https://onlinepatent.ru/,https://onlinepatent.ru/company/
54,https://tgtdiagnostics.com/,-
55,https://www.qligent.ru,-
56,http://www.rvision.ru,-
